"paName","state","correctPaName","correctState","correctPaType","orderNumber","correctOrderNumber"
"Rakchham-Chitkul Wildlife Sanctuary (previously known as Sangla Valley)","Himachal Pradesh","Rakchham Chitkul Wildlife Sanctuary","Himachal Pradesh","Wildlife Sanctuary"
"ranahita (Blackbuck) Widlife Sanctuar","Telangana","Pranahita Wildlife Sanctuary","Telangana","Wildlife Sanctuary"
"Jai Prakash Narayan (Surahatal) Bird Sanctuary","Uttar Pradesh","Surha Tal Bird Sanctuary","Uttar Pradesh","Bird Sanctuary"
"Nawabganj (saheed Chandra Shekhar Azad)Bird","Uttar Pradesh","Nawabganj Bird Sanctuary","Uttar Pradesh","Bird Sanctuary"
"Sharavati Valley Lion Tailed Macaque (LTM) Sanctuary","Karnataka","Sharavathi LTM Wildlife Sanctuary","Karnataka","Wildlife Sanctuary"
"Point Calimere Sanctuary (including block A)","Tamil Nadu","Point Calimere Wildlife and Bird Sanctuary","Tamil Nadu","Wildlife Sanctuary"
"Point Calimere Sanctuary (including block B","Tamil Nadu","Point Calimere Wildlife and Bird Sanctuary","Tamil Nadu","Wildlife Sanctuary"
"Sepahijala Wildlife Sanctuary","Tripura","Sepahijala Wildlife Sanctuary, Clouded Leopard National Park","Tripura",
"Trishna Wildlife Sanctuary","Tripura","Trishna Wildlife Sanctuary, Rajbari National Park","Tripura",
"Asolabhattie Wildlife Sanctuary","Haryana","Asola Bhatti Wildlife Sanctuary","Haryana","Wildlife Sanctuary"
"Great Himalayan National Park Conservation Area","Himachal Pradesh","Khirganga National Park, Sainj Wildlife Sanctuary, Tirthan Wildlife Sanctuary and Great Himalayan National Park","Himachal Pradesh",
"Amendment in the Final Notification of Eco-sensitive Zone around Bandipur National Park and Tiger Reserve, in the state of Karnataka. (ESZ)","Karnataka","Bandipur National Park and Tiger Reserve","Karnataka",
"Dandeli Wildlife Sanctuary and Anshi National Park","Karnataka","Dandeli Wildlife Sanctuary, Anshi National Park and Kali Tiger Reserve","Karnataka",
"Neyyar Sanctuaries","Kerala","Neyyar Wildlife Sanctuary","Kerala","Wildlife Sanctuary"
"Peppara Wildlife Sanctuaries","Kerala","Peppara Wildlife Sanctuary","Kerala","Wildlife Sanctuary"
,"Andaman and Nicobar","","Andaman and Nicobar Islands",
,"Chattisgarh","","Chhattisgarh",
,"Dadra Nagar Haveli","","Dadra and Nagar Haveli and Daman and Diu",
,"National Capital Territory of Delhi","","Delhi",
,,,,,"S.O. No. 438","S.O. No. 608"
