wikidataId,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl
Q2769992,Ratan Mahal Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Ratanmahal%20Wildlife%20Sanctuary%20-%20Dahod%20district%20-%20Gujarat%20-%20DSC0001.jpg,IUCN category IV: Habitat/Species Management Area,Dahod district,Gujarat,22.575,74.110347222,,,,,,Ratan Mahal Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Ratanmahal_Wildlife_Sanctuary
Q2928293,Bura Chapori Wildlife Sanctuary,Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Bura%20Chapori%20Wildlife%20Sanctuary%20in%20Assam.jpg,IUCN category IV: Habitat/Species Management Area,Assam,Assam,26.5148,92.6929,Tezpur,,,,,,,https://en.wikipedia.org/wiki/Bura_Chapori_Wildlife_Sanctuary
Q2979693,Campbell Bay National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Nicobar%20Treeshrew%20%28Tupaia%20nicobarica%20nicobarica%29.jpg,IUCN category II: National Park,,,7.11277778,93.76194444,,,426.23,,,,,https://en.wikipedia.org/wiki/Campbell_Bay_National_Park
Q2979712,Balpakram National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Muntjac%20deer.JPG,IUCN category II: National Park,South Garo Hills district,Meghalaya,25.5,90.75,Baghmara,,352,,,Balphakram National Park,,https://en.wikipedia.org/wiki/Balpakram_National_Park
Q2979723,Galathea National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Caloenas%20nicobarica%20-%20Kragentaube2.jpg,IUCN category II: National Park,Andaman and Nicobar Islands,Andaman and Nicobar Islands,6.923,93.833,,,110,,,,,https://en.wikipedia.org/wiki/Galathea_National_Park
Q2985097,Sultanpur National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Sultanpur%20Bird%20Sanctuary%2C%20Haryana..JPG,IUCN category II: National Park,Gurgaon division,Haryana,28.4623,76.8899,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sultanpur%20National%20Park%20banner%20Greylag%20Geese.jpg,Sultanpur National Park,,https://en.wikipedia.org/wiki/Sultanpur_National_Park
Q2985148,Gorumara National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Gorumara%20Gateway%20Arnab%20Dutta.JPG,IUCN category II: National Park,,,26.7,88.8,Malbazar,,,,http://commons.wikimedia.org/wiki/Special:FilePath/GorumaraH.jpg,Gorumara National Park,,https://en.wikipedia.org/wiki/Gorumara_National_Park
Q2985156,Kalesar National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Kalesar%20as%20seen%20by%20a%20Phone%2001.jpg,IUCN category II: National Park,Yamunanagar district,Haryana,30.33194444,77.55194444,,,,,,,,https://en.wikipedia.org/wiki/Kalesar_National_Park
Q2985193,Singalila National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20sleeping%20Buddha.jpg,IUCN category II: National Park,Darjeeling district,West Bengal,27.11666667,88.06666667,Manebhanjyang,Important Bird Area; national park,78.6,,http://commons.wikimedia.org/wiki/Special:FilePath/Singalila%20national%20park%20%28cropped%29.jpg,Singalila National Park,,https://en.wikipedia.org/wiki/Singalila_National_Park
Q2985390,Mukurthi National Park,National Park,Western Ghats,http://commons.wikimedia.org/wiki/Special:FilePath/Niltahr.jpg,IUCN category II: National Park,Nilgiris district,Tamil Nadu,11.266666666,76.475,Ooty,part of UNESCO World Heritage Site,7850,https://www.forests.tn.gov.in/pages/view/MUKURTHI-NATIONAL-PARK,,Mukurthi National Park,,https://en.wikipedia.org/wiki/Mukurthi_National_Park
