wikidataId,wikidataUrl,wikidataLabel,protectedAreaType,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,state,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,stateSuggestedQid,stateSuggestedLabel,stateConfidence,stateEvidence,quickstatement
Q48725510,https://www.wikidata.org/wiki/Q48725510,"Adavi, Kerala",,,http://commons.wikimedia.org/wiki/Special:FilePath/Adavi%20Eco%20Tourism.jpg,,,,9.2644,76.9355,Thannithode,,,,,,,"https://en.wikipedia.org/wiki/Adavi,_Kerala",Q1186,Kerala,medium,"wikilink #4 in the lead, ""Kerala"" (Q1186), is an instance of Q12443800",Q48725510	P131	Q1186
Q48730174,https://www.wikidata.org/wiki/Q48730174,Karikili Bird Sanctuary,Bird Sanctuary,,,IUCN category IV: Habitat/Species Management Area,,,12.5977,79.8429,,,,,,,,https://en.wikipedia.org/wiki/Karikili_Bird_Sanctuary,Q1445,Tamil Nadu,high,"1st wikilink in the lead, ""Tamil Nadu"" (Q1445), is an instance of Q12443800",Q48730174	P131	Q1445
Q110442683,https://www.wikidata.org/wiki/Q110442683,Kamrunag Lake,,,,,,,31.473055555,77.05,,,,,,,,https://en.wikipedia.org/wiki/Kamrunag_Lake,Q1177,Himachal Pradesh,medium,"wikilink #2 in the lead, ""Himachal Pradesh"" (Q1177), is an instance of Q12443800",Q110442683	P131	Q1177
Q111181635,https://www.wikidata.org/wiki/Q111181635,Nellai Wildlife Sanctuary,Wildlife Sanctuary,,,,,,9.1,77.266666666,,,,,,,,https://en.wikipedia.org/wiki/Nellai_Wildlife_Sanctuary,Q1445,Tamil Nadu,medium,"wikilink #2 in the lead, ""Tamil Nadu"" (Q1445), is an instance of Q12443800",Q111181635	P131	Q1445
Q111181702,https://www.wikidata.org/wiki/Q111181702,Singphan Wildlife Sanctuary,Wildlife Sanctuary,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Singphan_Wildlife_Sanctuary,,,none,no wikilink in the lead resolved to a matching item,
Q112136896,https://www.wikidata.org/wiki/Q112136896,Kadalundi–Vallikkunnu Community Reserve,,,,,,,11.139333333,75.831222222,,,,,,,,https://en.wikipedia.org/wiki/Kadalundi%E2%80%93Vallikkunnu_Community_Reserve,Q1186,Kerala,high,"1st wikilink in the lead, ""Kerala"" (Q1186), is an instance of Q12443800",Q112136896	P131	Q1186
Q115937502,https://www.wikidata.org/wiki/Q115937502,Fudam Bird Sanctuary,Bird Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Daman and Diu,,20.72514,70.95443,,,,,,,,https://en.wikipedia.org/wiki/Fudam_Bird_Sanctuary,Q77997266,Dadra and Nagar Haveli and Daman and Diu,medium,"wikilink #2 in the lead, ""Dadra and Nagar Haveli and Daman and Diu"" (Q77997266), is an instance of Q467745",Q115937502	P131	Q77997266
Q116739635,https://www.wikidata.org/wiki/Q116739635,Cauvery south Wildlife Sanctuary,Wildlife Sanctuary,,,,,,12.344166666,78.017222222,,,,,,,,https://en.wikipedia.org/wiki/Cauvery_South_Wildlife_Sanctuary,Q1445,Tamil Nadu,medium,"wikilink #5 in the lead, ""Tamil Nadu"" (Q1445), is an instance of Q12443800",Q116739635	P131	Q1445
Q2985788,https://www.wikidata.org/wiki/Q2985788,Neora Valley National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Neora%20valley1.png,IUCN category II: National Park,,,27.06,88.7,Kalimpong,Tentative World Heritage Site,,,,Neora Valley National Park,,https://en.wikipedia.org/wiki/Neora_Valley_National_Park,Q1356,West Bengal,medium,"wikilink #2 in the lead, ""West Bengal"" (Q1356), is an instance of Q12443800",Q2985788	P131	Q1356
Q3092307,https://www.wikidata.org/wiki/Q3092307,Mrugavani National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Daboia%20head.jpg,IUCN category II: National Park,,,17.35777778,78.34111111,Hyderabad,,,,,Mrugavani National Park,,https://en.wikipedia.org/wiki/Mrugavani_National_Park,Q677037,Telangana,medium,"wikilink #2 in the lead, ""Telangana"" (Q677037), is an instance of Q12443800",Q3092307	P131	Q677037
Q3092341,https://www.wikidata.org/wiki/Q3092341,Sanjay National Park,National Park,,http://commons.wikimedia.org/wiki/Special:FilePath/Oriolus%20xanthornus%2C%20Black-hooded%20Oriole%2C%20India%202013.jpg,IUCN category II: National Park,,,23.968611111,81.655277777,Sidhi,,,,,Sanjay National Park,,https://en.wikipedia.org/wiki/Sanjay_National_Park,Q1188,Madhya Pradesh,medium,"wikilink #6 in the lead, ""Madhya Pradesh"" (Q1188), is an instance of Q12443800",Q3092341	P131	Q1188
