"orderNumber","notificationDate","protectedAreaName","wikidataId","archiveLink","archiveMatchMethod","archiveIdentifier","archiveCollection","archiveCreator","archiveDate","archiveMinistry","archiveDepartment","archiveSubject","archiveGazetteSource","allmaps images","toposheet page","toposheet thumbnail","allmaps editor","tms"
"S.O. 3306(E)","2019-09-16","Vaduvoor Bird Sanctuary","Q7908370","https://archive.org/details/in.gazette.central.e.2019-09-16.212532","description","in.gazette.central.e.2019-09-16.212532","gazetteofindia;JaiGyan","Government of India","2019-09-16","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-09-16.212532/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3327 (E)","2017-10-13","Sunabeda Wildlife Sanctuar",,"https://archive.org/details/in.gazette.central.e.2017-10-13.179624","description","in.gazette.central.e.2017-10-13.179624","gazetteofindia;JaiGyan","Government of India","2017-10-13","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-10-13.179624/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3328 (E)","2017-10-13","Saddle Peak National Park","Q775202","https://archive.org/details/in.gazette.central.e.2017-10-13.179637","description","in.gazette.central.e.2017-10-13.179637","gazetteofindia;JaiGyan","Government of India","2017-10-13","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-10-13.179637/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3328(E)","2015-12-07","Sri Lankamalleswara Wildlife Sanctuary","Q19898458","NONE",,,,,,,,,,,,,,
"S.O. 3342(E)","2017-10-16","Jessore Wildlife Sanctuary","Q6187899","https://archive.org/details/in.gazette.central.e.2017-10-16.179661","description","in.gazette.central.e.2017-10-16.179661","gazetteofindia;JaiGyan","Government of India","2017-10-16","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-10-16.179661/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3343(E)","2017-10-16","Raiganj Wildlife Sanctuary","Q7283821","https://archive.org/details/in.gazette.central.e.2017-10-16.179665","description","in.gazette.central.e.2017-10-16.179665","gazetteofindia;JaiGyan","Government of India","2017-10-16","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-10-16.179665/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3344(E)","2017-10-16","Chintamoni Bird Sanctuary","Q5101326","https://archive.org/details/in.gazette.central.e.2017-10-16.179669","description","in.gazette.central.e.2017-10-16.179669","gazetteofindia;JaiGyan","Government of India","2017-10-16","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-10-16.179669/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3345(E)","2017-10-16","Kheoni Wildlife Sanctuary","Q55615923","https://archive.org/details/in.gazette.central.e.2017-10-16.179662","description","in.gazette.central.e.2017-10-16.179662","gazetteofindia;JaiGyan","Government of India","2017-10-16","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-10-16.179662/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3361(E)","2018-07-09","Shergarh Wildlife Sanctuary","Q134610688","https://archive.org/details/in.gazette.central.e.2018-07-09.187289","description","in.gazette.central.e.2018-07-09.187289","gazetteofindia;JaiGyan","Government of India","2018-07-09","Ministry of Environment, Forests and Climate Change","Not Applicable","In supersession of Ministry s draft notification S O 2284 E dated 19th October 2015 the following draft of the notification which the Central",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2018-07-09.187289/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3361(E)","2018-07-09","Shergarh Wildlife Sanctuary, Rajasthan","Q134610688",,,,,,,,,,,,,,,
"S.O. 3362(E)","2018-07-09","Sakkarakottai Bird Sanctuary","Q135622961","https://archive.org/details/in.gazette.central.e.2018-07-09.187300","description","in.gazette.central.e.2018-07-09.187300","gazetteofindia;JaiGyan","Government of India","2018-07-09","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2018-07-09.187300/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3363(E)","2018-07-09","Srivilliputhur Grizzled Squirrel","Q5609778","https://archive.org/details/in.gazette.central.e.2018-07-09.187382","description","in.gazette.central.e.2018-07-09.187382","gazetteofindia;JaiGyan","Government of India","2018-07-09","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2018-07-09.187382/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3369 (E)","2016-11-03","Dandeli Wildlife Sanctuary","Q5215675","https://archive.org/details/in.gazette.central.e.2016-11-03.172484","description","in.gazette.central.e.2016-11-03.172484","gazetteofindia;JaiGyan","Government of India","2016-11-03","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-11-03.172484/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3369 (E)","2016-11-03","Anshi National Park","Q5215675","https://archive.org/details/in.gazette.central.e.2016-11-03.172484","description","in.gazette.central.e.2016-11-03.172484","gazetteofindia;JaiGyan","Government of India","2016-11-03","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred by sub section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-11-03.172484/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3369 (E)","2016-11-03","Dandeli Wildlife Sanctuary and Anshi National Park",,,,,,,,,,,,,,,,
"S.O. 3370 (E)","2016-11-03","Gir National Park","Q337028","https://archive.org/details/in.gazette.central.e.2016-11-03.172489","title","in.gazette.central.e.2016-11-03.172489","gazetteofindia;JaiGyan","Government of India","2016-11-03","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by subsection",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2016-11-03.172489/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3371(E)","2021-08-18","Nahar Wildlife Sanctuary","Q17002923","NONE",,,,,,,,,,,,,,
"S.O. 3433(E)","2017-10-27","Kotagarh Wildlife Sanctuary","Q51137829","https://archive.org/details/in.gazette.central.e.2017-10-27.179896","description","in.gazette.central.e.2017-10-27.179896","gazetteofindia;JaiGyan","Government of India","2017-10-27","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-10-27.179896/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 3434(E)","2019-09-23","Vellode Bird Santuary","Q4122004","https://archive.org/details/in.gazette.central.e.2019-09-23.212769","description","in.gazette.central.e.2019-09-23.212769","gazetteofindia;JaiGyan","Government of India","2019-09-23","Ministry of Environment, Forests and Climate Change","Not Applicable","The following draft of the notification which the Central Government proposes to issue in exercise of the powers conferred",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2019-09-23.212769/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
