"orderNumber","notificationDate","protectedAreaName","wikidataId","archiveLink","archiveMatchMethod","archiveIdentifier","archiveCollection","archiveCreator","archiveDate","archiveMinistry","archiveDepartment","archiveSubject","archiveGazetteSource","allmaps images","toposheet page","toposheet thumbnail","allmaps editor","tms"
"S.O. 814(E)","2020-02-21","Keoladeo WLS Sanctuary","Q235878","NONE",,,,,,,,,,,,,,
"S.O. 821(E)","2022-02-23","Bhitarkanika National Park","Q2580141","NONE",,,,,,,,,,,,,,
"S.O. 837 (E)","2017-03-16","Umred Karhandla Wildlife","Q16902313","https://archive.org/details/in.gazette.central.e.2017-03-16.174803","title","in.gazette.central.e.2017-03-16.174803","gazetteofindia;JaiGyan","Government of India","2017-03-16","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS, a draft notification, declaring EcoSensitive Zone around Umred Karhandla Wildlife Sanctuary in Nagpur and Bhandara",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-03-16.174803/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 838 (E)","2017-03-16","Daranghati Wildlife Sanctuary","Q5222092","https://archive.org/details/in.gazette.central.e.2017-03-16.174804","description","in.gazette.central.e.2017-03-16.174804","gazetteofindia;JaiGyan","Government of India","2017-03-16","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-03-16.174804/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 839 (E)","2017-03-16","Jhajjar bachauali WLS","WIKIPEDIA:punjab:jhajjar-bacholi-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2017-03-16.174810","title","in.gazette.central.e.2017-03-16.174810","gazetteofindia;JaiGyan","Government of India","2017-03-16","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas, a draft notification was published in the Gazette of India, Extraordinary",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-03-16.174810/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 839 (E)","2017-03-16","Jhajjar bachauali WLS ESZ Notification",,,,,,,,,,,,,,,,
"S.O. 840 (E)","2017-03-16","Nangal WLS","Q109905245","https://archive.org/details/in.gazette.central.e.2017-03-16.174811","title","in.gazette.central.e.2017-03-16.174811","gazetteofindia;JaiGyan","Government of India","2017-03-16","Ministry of Environment, Forests and Climate Change","Not Applicable","Whereas, a draft notification was published in the Gazette of India, Extraordinary",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-03-16.174811/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 840 (E)","2017-03-16","Nangal WLS,","Q109905245",,,,,,,,,,,,,,,
"S.O. 891 (E)","2017-03-20","Kaimur Wild Life Sanctuary","Q15982945","https://archive.org/details/in.gazette.central.e.2017-03-20.174873","description","in.gazette.central.e.2017-03-20.174873","gazetteofindia;JaiGyan","Government of India","2017-03-20","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-03-20.174873/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. 938(E)","2017-03-23","Van Vihar Wildlife Sanctuary","Q134721122","https://archive.org/details/in.gazette.central.e.2017-03-23.175038","description","in.gazette.central.e.2017-03-23.175038","gazetteofindia;JaiGyan","Government of India","2017-03-23","Ministry of Environment, Forests and Climate Change","Not Applicable","WHEREAS a draft notification was published in the Gazette of India Extraordinary vide notification of the Government of the India in the Ministry of Environment Forest and Climate Change",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2017-03-23.175038/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No 191","2010-01-27","Sultanpur NP","Q2985097","NONE",,,,,,,,,,,,,,
"S.O. No 274","2015-01-28","Kaimur Wildlife Sanctuarry",,"https://archive.org/details/in.gazette.central.e.2015-01-28.162706","title","in.gazette.central.e.2015-01-28.162706","gazetteofindia;JaiGyan","Government of India","2015-01-28","Ministry of Environment and Forests","Climate Change Division","The Central Govt. hereby notifies an area upto 2 kilometer from the boundary of the protected area of Kaimur Wildlife Sanctuary in the State of Bihar as the Eco-sensitive Zone (hereinafter called as the Eco-sensitive Zone), details of which are as under.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-01-28.162706/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No 274","2015-01-28","Kaimur Wildlife Sanctuary","Q15232550",,,,,,,,,,,,,,,
"S.O. No 997","2015-04-10","Tadoba-Andhari Tiger Reserve","Q2639563","https://archive.org/details/in.gazette.central.e.2015-04-10.164108","title","in.gazette.central.e.2015-04-10.164108","gazetteofindia;JaiGyan","Government of India","2015-04-10","Ministry of Environment and Forests","Climate Change Division","The Central Govt. is hereby published, as required under sub-rule (3) of rule 5 of the Environment (Protection) Rules, 1986, for the information of the public likely to be affected thereby.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-04-10.164108/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No 997","2015-04-10","Tadoba Tiger Reserve and Andheri WLS ESZ Notification",,,,,,,,,,,,,,,,
"S.O. No. 119 (E)","2026-01-08","Lippa-Asrang Wildlife Sanctuary","WIKIPEDIA:himachal-pradesh:lippa-asrang-wildlife-sanctuary","NONE",,,,,,,,,,,,,,
"S.O. No. 1258","2012-05-31","Vansda NP","Q2669063","NONE",,,,,,,,,,,,,,
"S.O. No. 2000(E)","2023-05-02","Tal Chapar Wildlife Sanctuary","Q7678698","NONE",,,,,,,,,,,,,,
"S.O. No. 221","2015-01-23","Bhagwan Mahaveer WLS","Q2397554","https://archive.org/details/in.gazette.central.e.2015-01-23.162904","title","in.gazette.central.e.2015-01-23.162904","gazetteofindia;JaiGyan","Government of India","2015-01-23","Ministry of Environment and Forests","Climate Change Division","The Central Govt. hereby notifies an area to an extent of one kilometre of land or the water body, whichever is nearer to the boundary of the Bhagwan Mahaveer Wildlife Sanctuary and National Park in the State of Goa, as the Eco-sensitive Zone, details of which are as under.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-01-23.162904/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 2364","2012-10-04","Bandipur NP","Q665110","NONE",,,,,,,,,,,,,,
"S.O. No. 238 (E)","2026-01-16","Kumbhalgarh Wildlife Sanctuary","Q6443733","https://archive.org/details/in.gazette.central.e.2026-01-16.269376","description","in.gazette.central.e.2026-01-16.269376","gazetteofindia;JaiGyan","Government of India","2026-01-16","Ministry of Environment, Forest and Climate Change","ESZ Division","Final Notification ESZ around Kumbhalgarh Wildlife Sanctuary Rajasthan","https://egazette.gov.in/WriteReadData/2026/269376.pdf","https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2026-01-16.269376/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 3026(E)","2024-07-29","Bondla Mahaveer Wildlife Sanctuary",,"NONE",,,,,,,,,,,,,,
"S.O. No. 3026(E)","2024-07-29","Bondla Wildlife Sanctuary","Q4941423","NONE",,,,,,,,,,,,,,
"S.O. No. 3029","2015-11-10","Manjeera Crocodile Sanctuary",,"https://archive.org/details/in.gazette.central.e.2015-11-10.166677","title","in.gazette.central.e.2015-11-10.166677","gazetteofindia;JaiGyan","Government of India","2015-11-10","Ministry of Environment, Forests and Climate Change",,"The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub section 1, read with clause v and clause xiv of sub section 2 and sub section 3 of section 3 of the Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-11-10.166677/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 3039(E)","2024-07-30","Nugu Wildlife Sanctuary","Q110078279","https://archive.org/details/in.gazette.central.e.2024-07-30.255920","description","in.gazette.central.e.2024-07-30.255920","gazetteofindia;JaiGyan","Government of India","2024-07-30","Ministry of Environment, Forest and Climate Change","ESZ Division","AMENDMENT NOTIFICATION OF THE ESZ AROUND NUGU WILDLIFE SANCTUARY KARNATAKA","https://egazette.gov.in/WriteReadData/2024/255920.pdf",,,,,
"S.O. No. 3100","2015-11-17","Nokrek NP","Q3174875","https://archive.org/details/in.gazette.central.e.2015-11-17.166737","title","in.gazette.central.e.2015-11-17.166737","gazetteofindia;JaiGyan","Government of India","2015-11-17","Ministry of Environment, Forests and Climate Change",,"The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub-section 1, read with clause v and clause xiv of sub-section 2 and sub-section 3 of section 3 of the Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-11-17.166737/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 3100","2015-11-17","Nokrek NP ESZ Notification",,,,,,,,,,,,,,,,
"S.O. No. 3105","2015-11-17","Sagareshwar WLS","Q7399055","https://archive.org/details/in.gazette.central.e.2015-11-17.166754","title","in.gazette.central.e.2015-11-17.166754","gazetteofindia;JaiGyan","Government of India","2015-11-17","Ministry of Environment, Forests and Climate Change",,"The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub-section 1, read with clause v and clause xiv of sub-section 2 and sub-section 3 of section 3 of the Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-11-17.166754/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 3105","2015-11-17","Sagareshwar WLS ESZ Notification",,,,,,,,,,,,,,,,
"S.O. No. 3123","2015-11-20","Balukhanda-Konark WLS","Q18110145","https://archive.org/details/in.gazette.central.e.2015-11-20.166794","title","in.gazette.central.e.2015-11-20.166794","gazetteofindia;JaiGyan","Government of India","2015-11-20","Ministry of Environment, Forests and Climate Change",,"The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub-section 1, read with clause v and clause xiv of sub-section 2 and sub-section 3 of section 3 of the Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-11-20.166794/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 3123","2015-11-20","Balukhanda-Konark WLS ESZ Notification",,,,,,,,,,,,,,,,
"S.O. No. 3124","2015-11-20","Narpuh","Q137223381","https://archive.org/details/in.gazette.central.e.2015-11-20.166786","description","in.gazette.central.e.2015-11-20.166786","gazetteofindia;JaiGyan","Government of India","2015-11-20","Ministry of Environment, Forests and Climate Change",,"The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub-section",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-11-20.166786/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 3124","2015-11-20","Narpuh ESZ Notification",,,,,,,,,,,,,,,,
"S.O. No. 3125","2015-11-20","Bhaindrogarh WL Sanctuary",,"https://archive.org/details/in.gazette.central.e.2015-11-20.166799","title","in.gazette.central.e.2015-11-20.166799","gazetteofindia;JaiGyan","Government of India","2015-11-20","Ministry of Environment, Forests and Climate Change",,"The following draft of the notification, which the Central Government proposes to issue in exercise of the powers conferred by sub-section 1, read with clause v and clause xiv of sub-section 2 and sub-section 3 of section 3 of the Environment",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2015-11-20.166799/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 3141(E)","2023-07-14","Dalma Wildlife Sanctuary","Q12433409","https://archive.org/details/in.gazette.central.e.2023-07-14.247345","description","in.gazette.central.e.2023-07-14.247345","gazetteofindia;JaiGyan","Government of India","2023-07-14","Ministry of Environment, Forest and Climate Change","ESZ Division","Dalma Wildlife Sanctuary Jharkhand Amendment","https://egazette.gov.in/WriteReadData/2023/247345.pdf",,,,,
"S.O. No. 3142(E)","2023-07-14","Van Vihar Wildlife Sanctuary","Q3092357","https://archive.org/details/in.gazette.central.e.2023-07-14.247346","description","in.gazette.central.e.2023-07-14.247346","gazetteofindia;JaiGyan","Government of India","2023-07-14","Ministry of Environment, Forest and Climate Change","ESZ Division","Van Vihar Wildlife Sanctuary Rajasthan Amendment","https://egazette.gov.in/WriteReadData/2023/247346.pdf",,,,,
"S.O. No. 3144(E)","2023-07-14","Bir Motibagh Wildlife Sanctuary","WIKIPEDIA:punjab:bir-motibagh-wildlife-sanctuary","NONE",,,,,,,,,,,,,,
"S.O. No. 3513(E)","2023-08-07","Bhagwan Mahaveer Wildlife Sanctuary","Q2397554","https://archive.org/details/in.gazette.central.e.2023-08-07.247900","description","in.gazette.central.e.2023-08-07.247900","gazetteofindia;JaiGyan","Government of India","2023-08-07","Ministry of Environment, Forest and Climate Change","Hazardous Substances Management Division","BHAGWAN MAHAVEER WILDLIFE SANCTUARY GOA AMENDMENT","https://egazette.gov.in/WriteReadData/2023/247900.pdf",,,,,
"S.O. No. 3514(E)","2023-08-07","Dr. Salim Ali Bird Sanctuary","Q4806672","https://archive.org/details/in.gazette.central.e.2023-08-07.247901","description","in.gazette.central.e.2023-08-07.247901","gazetteofindia;JaiGyan","Government of India","2023-08-07","Ministry of Environment, Forest and Climate Change","Hazardous Substances Management Division","DR SALIM ALI BIRD SANCTUARY GOA AMENDMENT","https://egazette.gov.in/WriteReadData/2023/247901.pdf",,,,,
"S.O. No. 3515(E)","2023-08-07","Narayan Sarovar Wildlife Sanctuary","Q6965495","https://archive.org/details/in.gazette.central.e.2023-08-07.247902","description","in.gazette.central.e.2023-08-07.247902","gazetteofindia;JaiGyan","Government of India","2023-08-07","Ministry of Environment, Forest and Climate Change","Hazardous Substances Management Division","NARAYAN SAROVAR WILDLIFE SANCTUARY GUJARAT AMENDMENT","https://egazette.gov.in/WriteReadData/2023/247902.pdf",,,,,
"S.O. No. 3516(E)","2023-08-07","Pangolakha Wildlife Sanctuary","Q16896392","https://archive.org/details/in.gazette.central.e.2023-08-07.247903","description","in.gazette.central.e.2023-08-07.247903","gazetteofindia;JaiGyan","Government of India","2023-08-07","Ministry of Environment, Forest and Climate Change","Hazardous Substances Management Division","PANGOLAKHA WILDLIFE SANCTUARY SIKKIM AMENDMENT","https://egazette.gov.in/WriteReadData/2023/247903.pdf",,,,,
"S.O. No. 359","2014-02-06","Shingba Rhododendron Sanctuary","Q7497442","https://archive.org/details/in.gazette.central.e.2014-02-06.158103","title","in.gazette.central.e.2014-02-06.158103","gazetteofindia;JaiGyan","Government of India","2014-02-06","Ministry of Environment and Forests",,"The Central Govt. is hereby given that the said draft notification shall be taken into consideration on or after the expiry of a period of sixty days from the date on which copies of the Gazette of India containing this notification are made available to the public.",,"https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2014-02-06.158103/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 3832(E)","2024-09-06","Mahananda Wildlife Sanctuary","Q15243705","https://archive.org/details/in.gazette.central.e.2024-09-06.257005","description","in.gazette.central.e.2024-09-06.257005","gazetteofindia;JaiGyan","Government of India","2024-09-06","Ministry of Environment, Forest and Climate Change","ESZ Division","Draft notification of Mahananda Wildlife Sanctuary West Bengal","https://egazette.gov.in/WriteReadData/2024/257005.pdf",,,,,
"S.O. No. 3974(E)","2023-09-06","Bhitarkanika National Park","Q2580141","NONE",,,,,,,,,,,,,,
"S.O. No. 3997(E)","2024-09-18","Gir National Park","Q337028","https://archive.org/details/in.gazette.central.e.2024-09-18.257288","description","in.gazette.central.e.2024-09-18.257288","gazetteofindia;JaiGyan","Government of India","2024-09-18","Ministry of Environment, Forest and Climate Change","ESZ Division","Draft notification of Gir National Park in the state of Gujarat","https://egazette.gov.in/WriteReadData/2024/257288.pdf",,,,,
"S.O. No. 401 (E)","2026-01-28","Jaldapara National Park","Q3350362","https://archive.org/details/in.gazette.central.e.2026-01-28.269649","description","in.gazette.central.e.2026-01-28.269649","gazetteofindia;JaiGyan","Government of India","2026-01-28","Ministry of Environment, Forest and Climate Change","ESZ Division","Final Notification of ESZ around Jaldapara National Park West Bengal","https://egazette.gov.in/WriteReadData/2026/269649.pdf",,,,,
"S.O. No. 4217(E)","2023-09-22","Phulwari Ki Nal Wildlife Sanctuary","Q30593531","https://archive.org/details/in.gazette.central.e.2023-09-22.248996","description","in.gazette.central.e.2023-09-22.248996","gazetteofindia;JaiGyan","Government of India","2023-09-22","Ministry of Environment, Forest and Climate Change","ESZ Division","Declaration of Eco sensitive Zone around Phulwari ki Nal Wildlife Sanctuary Rajasthan","https://egazette.gov.in/WriteReadData/2023/248996.pdf",,,,,
"S.O. No. 4227(E)","2023-09-26","Dachigham National Park","Q1156717","NONE",,,,,,,,,,,,,,
"S.O. No. 4242(E)","2024-09-27","Tal Chhapar Wildlife Sanctuary","Q7678698","https://archive.org/details/in.gazette.central.e.2024-09-27.257583","description","in.gazette.central.e.2024-09-27.257583","gazetteofindia;JaiGyan","Government of India","2024-09-27","Ministry of Environment, Forest and Climate Change","ESZ Division","Final notification Eco sensitive Zone around Tal Chhapar Wildlife Sanctuary Rajasthan","https://egazette.gov.in/WriteReadData/2024/257583.pdf","https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2024-09-27.257583/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 4245(E)","2023-09-26","Barsey Wildlife Sanctuary",,"NONE",,,,,,,,,,,,,,
"S.O. No. 4246(E)","2023-09-26","Maenam Wildlife Sanctuary","Q17051622","NONE",,,,,,,,,,,,,,
"S.O. No. 4262(E)","2024-09-30","Kappathagudda Wildlife Sanctuary","Q135419116","https://archive.org/details/in.gazette.central.e.2024-09-30.257716","description","in.gazette.central.e.2024-09-30.257716","gazetteofindia;JaiGyan","Government of India","2024-09-30","Ministry of Environment, Forest and Climate Change","ESZ Division","Draft Notification of ESZ around Kappathagudda Wildlife Sanctuary Karnataka","https://egazette.gov.in/WriteReadData/2024/257716.pdf","https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2024-09-30.257716/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 4325(E)","2024-10-03","Tral Wildlife Sanctuary","Q123532242","https://archive.org/details/in.gazette.central.e.2024-10-03.257705","description","in.gazette.central.e.2024-10-03.257705","gazetteofindia;JaiGyan","Government of India","2024-10-03","Ministry of Environment, Forest and Climate Change","ESZ Division","Draft Notification of ESZ around Tral Wildlife Sanctuary Jammu and Kashmir","https://egazette.gov.in/WriteReadData/2024/257705.pdf","https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2024-10-03.257705/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 438","2015-02-24","Cotigao WLS","Q5175367","NONE",,,,,,,,,,,,,,
"S.O. No. 4421(E)","2023-10-11","Rangayyanadurga Four Horned Antelope Wildlife Sanctuary","Q112252433","https://archive.org/details/in.gazette.central.e.2023-10-11.249323","description","in.gazette.central.e.2023-10-11.249323","gazetteofindia;JaiGyan","Government of India","2023-10-11","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of Rangayyanadurga Four Horned Antelope Wildlife Sanctuary Karnataka","https://egazette.gov.in/WriteReadData/2023/249323.pdf",,,,,
"S.O. No. 4422(E)","2023-10-11","Bir Bhadson Wildlife Sanctuary","WIKIPEDIA:punjab:bir-bhadson-wildlife-sanctuary","https://archive.org/details/in.gazette.central.e.2023-10-11.249327","description","in.gazette.central.e.2023-10-11.249327","gazetteofindia;JaiGyan","Government of India","2023-10-11","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of Bir Bhadson Wildlife Sanctuary Punjab","https://egazette.gov.in/WriteReadData/2023/249327.pdf",,,,,
"S.O. No. 4446(E)","2023-10-12","Bir Gurdialpur Wildlife Sanctuary","WIKIPEDIA:punjab:bir-gurdialpura-wildlife-sanctuary","NONE",,,,,,,,,,,,,,
"S.O. No. 4500(E)","2024-10-14","Neora Valley National Park","Q2985788","https://archive.org/details/in.gazette.central.e.2024-10-14.257957","description","in.gazette.central.e.2024-10-14.257957","gazetteofindia;JaiGyan","Government of India","2024-10-14","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of ESZ around Neora Valley National Park West Bengal","https://egazette.gov.in/WriteReadData/2024/257957.pdf",,,,,
"S.O. No. 4748(E)","2023-10-27","Kyongnosla Alpine Wildlife Sanctuary","Q6452052","NONE",,,,,,,,,,,,,,
"S.O. No. 4749(E)","2023-10-27","Shingaba Wildlife Sanctuary",,"NONE",,,,,,,,,,,,,,
"S.O. No. 4761(E)","2024-10-28","Halliday Island","Q5642082","NONE",,,,,,,,,,,,,,
"S.O. No. 4843(E)","2023-11-08","Sajjangarh Wildlife Sanctuary","Q65068086","https://archive.org/details/in.gazette.central.e.2023-11-08.249962","description","in.gazette.central.e.2023-11-08.249962","gazetteofindia;JaiGyan","Government of India","2023-11-08","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment of Sajjangarh Wildlife Sanctuary Rajasthan","https://egazette.gov.in/WriteReadData/2023/249962.pdf",,,,,
"S.O. No. 4949(E)","2023-11-16","Khangchendzenga National Park","Q2605019","NONE",,,,,,,,,,,,,,
"S.O. No. 4952(E)","2023-11-16","Gorumara National Park","Q2985148","https://archive.org/details/in.gazette.central.e.2023-11-16.250098","description","in.gazette.central.e.2023-11-16.250098","gazetteofindia;JaiGyan","Government of India","2023-11-16","Ministry of Environment, Forest and Climate Change","ESZ Division","Gorumara National Park West Bengal","https://egazette.gov.in/WriteReadData/2023/250098.pdf","https://editor.allmaps.org/images?url=https://iiif.archive.org/iiif/in.gazette.central.e.2023-11-16.250098/manifest.json&bg-preset=osm&bg-url=https://indianopenmaps.fly.dev/soi/osm/{z}/{x}/{y}.webp",,,,
"S.O. No. 5236 (E)","2022-11-10","Girnar Reserve Forest","Q131939336","NONE",,,,,,,,,,,,,,
"S.O. No. 5237(E)","2022-11-10","Girnar Reserve Forest",,"https://archive.org/details/in.gazette.central.e.2022-11-10.240199","description","in.gazette.central.e.2022-11-10.240199","gazetteofindia;JaiGyan","Government of India","2022-11-10","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in the final Notification of Eco sensitive Zone around Bandipur National Park and Tiger Reserve Karnataka","https://egazette.nic.in/WriteReadData/2022/240199.pdf",,,,,
"S.O. No. 5237(E)","2022-11-10","Bandipur National Park","Q665110","https://archive.org/details/in.gazette.central.e.2022-11-10.240199","description","in.gazette.central.e.2022-11-10.240199","gazetteofindia;JaiGyan","Government of India","2022-11-10","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in the final Notification of Eco sensitive Zone around Bandipur National Park and Tiger Reserve Karnataka","https://egazette.nic.in/WriteReadData/2022/240199.pdf",,,,,
"S.O. No. 5237(E)","2022-11-10","Bandipur Tiger Reserve","Q665110","https://archive.org/details/in.gazette.central.e.2022-11-10.240199","description","in.gazette.central.e.2022-11-10.240199","gazetteofindia;JaiGyan","Government of India","2022-11-10","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in the final Notification of Eco sensitive Zone around Bandipur National Park and Tiger Reserve Karnataka","https://egazette.nic.in/WriteReadData/2022/240199.pdf",,,,,
"S.O. No. 5237(E)","2022-11-10","in the state of Karnataka. (ESZ)",,"https://archive.org/details/in.gazette.central.e.2022-11-10.240199","description","in.gazette.central.e.2022-11-10.240199","gazetteofindia;JaiGyan","Government of India","2022-11-10","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in the final Notification of Eco sensitive Zone around Bandipur National Park and Tiger Reserve Karnataka","https://egazette.nic.in/WriteReadData/2022/240199.pdf",,,,,
"S.O. No. 5237(E)","2022-11-10","Amendment in the Final Notification of Eco-sensitive Zone around Bandipur National Park and Tiger Reserve, in the state of Karnataka. (ESZ)",,,,,,,,,,,,,,,,
"S.O. No. 5313(E)","2023-12-12","Amendment in the Final Notification of Eco-sensitive Zone around Purna Wildlife Sanctuary",,"https://archive.org/details/in.gazette.central.e.2023-12-12.250606","description","in.gazette.central.e.2023-12-12.250606","gazetteofindia;JaiGyan","Government of India","2023-12-12","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in ESZ notification of Purna Wildlife Sanctuary Gujarat","https://egazette.gov.in/WriteReadData/2023/250606.pdf",,,,,
"S.O. No. 5313(E)","2023-12-12","in the state of Gujarat",,"https://archive.org/details/in.gazette.central.e.2023-12-12.250606","description","in.gazette.central.e.2023-12-12.250606","gazetteofindia;JaiGyan","Government of India","2023-12-12","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in ESZ notification of Purna Wildlife Sanctuary Gujarat","https://egazette.gov.in/WriteReadData/2023/250606.pdf",,,,,
"S.O. No. 5313(E)","2023-12-12","Purna Wildlife Sanctuary","Q19895529","https://archive.org/details/in.gazette.central.e.2023-12-12.250606","description","in.gazette.central.e.2023-12-12.250606","gazetteofindia;JaiGyan","Government of India","2023-12-12","Ministry of Environment, Forest and Climate Change","ESZ Division","Amendment in ESZ notification of Purna Wildlife Sanctuary Gujarat","https://egazette.gov.in/WriteReadData/2023/250606.pdf",,,,,
"S.O. No. 5313(E)","2023-12-12","Amendment in the Final Notification of Eco-sensitive Zone around Purna Wildlife Sanctuary, in the state of Gujarat",,,,,,,,,,,,,,,,
"S.O. No. 5316(E)","2023-12-12","Amendment in the Final Notification of Eco-sensitive Zone around Vansda National Park",,"https://archive.org/details/in.gazette.central.e.2023-12-12.250630","description","in.gazette.central.e.2023-12-12.250630","gazetteofindia;JaiGyan","Government of India","2023-12-12","Ministry of Environment, Forest and Climate Change","ESZ Division","AMDNDMENT IN ESZ NOTIFICATION OF VANSDA NATIONAL PARK GUJARAT","https://egazette.gov.in/WriteReadData/2023/250630.pdf",,,,,
